sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"时钟","50","<<HKDevice: 0x1c4a986f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-01 08:00:28 +0800,2017-12-01 00:36:48 +0800,2017-12-01 08:00:28 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98880>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-02 08:30:41 +0800,2017-12-02 02:07:20 +0800,2017-12-02 08:30:36 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98790>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-03 08:30:24 +0800,2017-12-03 01:57:56 +0800,2017-12-03 08:30:24 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98920>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-04 08:00:21 +0800,2017-12-04 00:53:28 +0800,2017-12-04 08:00:21 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98830>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-05 08:00:25 +0800,2017-12-05 01:52:00 +0800,2017-12-05 08:00:25 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a989c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-06 08:00:41 +0800,2017-12-06 00:43:44 +0800,2017-12-06 08:00:40 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a988d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-07 08:30:15 +0800,2017-12-07 01:53:08 +0800,2017-12-07 07:15:56 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98a60>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-07 08:30:15 +0800,2017-12-07 07:16:12 +0800,2017-12-07 08:30:10 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98970>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-08 08:00:27 +0800,2017-12-08 01:40:08 +0800,2017-12-08 08:00:22 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98b00>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-09 08:30:21 +0800,2017-12-09 02:02:48 +0800,2017-12-09 08:30:16 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98a10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-10 08:30:11 +0800,2017-12-10 01:08:44 +0800,2017-12-10 02:11:44 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98ba0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-10 08:30:11 +0800,2017-12-10 02:12:52 +0800,2017-12-10 02:49:52 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98ab0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-10 08:30:11 +0800,2017-12-10 02:50:28 +0800,2017-12-10 02:52:20 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98c40>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-10 08:30:11 +0800,2017-12-10 03:50:40 +0800,2017-12-10 08:30:11 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98b50>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-11 08:00:26 +0800,2017-12-11 00:39:40 +0800,2017-12-11 08:00:26 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98ce0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-12 08:00:43 +0800,2017-12-12 01:07:16 +0800,2017-12-12 08:00:43 +0800,HKCategoryValueSleepAnalysisInBed
